,start,end,times,silent_length,condition,norm_silentlength
210,15.040736,19.37,S,4.329264,A1_beforehelp,0.1403817487957668
211,38.866326,41.43,S,2.563674,A1_beforehelp,0.0464815520382138
212,92.98711,95.87,S,2.88289,A1_beforehelp,0.0634585655057567
213,139.755774,142.92,S,3.16422599999998,A1_beforehelp,0.07842098925927878
214,86.048902,100.76,S1,14.711098,A1_beforehelp,0.6925236703654705
215,14.873234,17.32,S1,2.446766,A1_beforehelp,0.04026397932737382
216,30.563039,33.362706,S2,2.799667,A1_beforehelp,0.059032477866636714
217,48.644226,56.401638,S3,7.757412,A1_beforehelp,0.3227025433822856
218,83.968427,90.08,S,6.11157299999999,A1_beforehelp,0.23517111993105666
219,18.523157,20.9,S,2.376843,A1_beforehelp,0.03654523179375707
220,28.001804,31.66,S,3.658196,A1_beforehelp,0.10469202624540255
