image_ID,pitch,yaw,pitchyaw,norm_yaw,norm_pitch,norm_pitchyaw,condition
frame_face_B_A2_1061.jpg,-0.23057091,0.3497536,0.58032453,0.6346794,0.55561346,0.4146355,B_A2
frame_face_B_A2_1062.jpg,-0.29080272,-0.09376119,0.38456392,0.38067275,0.50829625,0.2718467,B_A2
frame_face_B_A2_1063.jpg,-0.30524153,-0.044565976,0.3498075,0.40884748,0.4969533,0.2464952,B_A2
frame_face_B_A2_1064.jpg,-0.29812622,-0.33994848,0.6380747,0.23967813,0.502543,0.4567588,B_A2
frame_face_B_A2_1065.jpg,-0.27092668,-0.11617878,0.38710546,0.36783388,0.5239105,0.27370054,B_A2
frame_face_B_A2_1066.jpg,-0.27450818,0.108747154,0.38325533,0.49665192,0.52109694,0.27089223,B_A2
frame_face_B_A2_1067.jpg,0.099688075,0.6835152,0.78320324,0.82582897,0.8150599,0.5626163,B_A2
frame_face_B_A2_1068.jpg,0.04224219,0.5904953,0.63273746,0.77255523,0.7699313,0.45286578,B_A2
frame_face_B_A2_1069.jpg,0.12449062,0.5842751,0.70876575,0.7689929,0.8345444,0.5083212,B_A2
frame_face_B_A2_107.jpg,-0.42618755,0.20143634,0.6276239,0.5497362,0.40193996,0.44913593,B_A2
frame_face_B_A2_1070.jpg,0.068077415,0.6417235,0.70980096,0.80189437,0.7902271,0.5090763,B_A2
frame_face_B_A2_1071.jpg,0.046937324,0.44183165,0.48876897,0.6874137,0.7736198,0.34785444,B_A2
frame_face_B_A2_1072.jpg,-0.17271039,-0.35140786,0.52411824,0.2331152,0.6010678,0.37363836,B_A2
frame_face_B_A2_1073.jpg,-0.16537449,0.036777347,0.20215183,0.45543385,0.6068307,0.13879439,B_A2
frame_face_B_A2_1074.jpg,-0.07514711,-0.082149446,0.15729655,0.38732296,0.6777121,0.10607672,B_A2
frame_face_B_A2_1075.jpg,0.13196331,-0.47567174,0.607635,0.16194767,0.8404148,0.43455592,B_A2
frame_face_B_A2_1076.jpg,0.028672459,0.016097134,0.044769593,0.44359002,0.75927114,0.02399896,B_A2
frame_face_B_A2_1077.jpg,-0.024295589,-0.024721468,0.049017057,0.42021272,0.71766025,0.027097084,B_A2
frame_face_B_A2_1078.jpg,-0.103530824,0.441296,0.54482687,0.6871069,0.6554142,0.38874334,B_A2
frame_face_B_A2_1079.jpg,-0.2328396,0.007924078,0.24076368,0.4389092,0.5538312,0.16695808,B_A2
frame_face_B_A2_108.jpg,-0.44658583,0.20418355,0.65076935,0.5513095,0.38591534,0.46601835,B_A2
frame_face_B_A2_1080.jpg,-0.36653042,0.030017577,0.396548,0.45156243,0.4488057,0.28058797,B_A2
frame_face_B_A2_1081.jpg,-0.025314998,0.46784228,0.49315727,0.70231026,0.7168594,0.35105526,B_A2
frame_face_B_A2_1082.jpg,-0.078049965,0.016396761,0.094446726,0.44376162,0.6754316,0.06023372,B_A2
frame_face_B_A2_1083.jpg,-0.2459595,-0.091347106,0.33730662,0.38205534,0.5435244,0.237377,B_A2
frame_face_B_A2_1084.jpg,-0.26988626,0.041708328,0.31159458,0.4582579,0.5247279,0.2186225,B_A2
frame_face_B_A2_1085.jpg,-0.2524551,0.001695727,0.2541508,0.43534216,0.5384215,0.17672272,B_A2
frame_face_B_A2_1086.jpg,-0.23878933,-0.2164224,0.45521173,0.3104231,0.5491572,0.3233776,B_A2
frame_face_B_A2_1087.jpg,-0.37272003,0.10855383,0.48127386,0.49654117,0.44394323,0.34238747,B_A2
frame_face_B_A2_1088.jpg,-0.3521042,-0.5527548,0.904859,0.11780119,0.4601387,0.65135264,B_A2
frame_face_B_A2_1089.jpg,-0.41457674,0.13896184,0.55353856,0.51395625,0.4110612,0.39509767,B_A2
frame_face_B_A2_109.jpg,-0.43032742,0.087821886,0.5181493,0.48466772,0.39868772,0.3692846,B_A2
frame_face_B_A2_1090.jpg,-0.36781666,0.22790734,0.595724,0.56489646,0.4477952,0.42586794,B_A2
frame_face_B_A2_1091.jpg,-0.31873754,-0.63620263,0.9549402,0.07000955,0.48635107,0.6878821,B_A2
frame_face_B_A2_1092.jpg,-0.38832784,0.6982175,1.0865453,0.8342492,0.43168196,0.78387564,B_A2
frame_face_B_A2_1093.jpg,-0.3734197,0.52501667,0.89843637,0.73505485,0.44339356,0.64666796,B_A2
frame_face_B_A2_1094.jpg,-0.2779727,0.44093245,0.71890515,0.6868987,0.5183753,0.51571697,B_A2
frame_face_B_A2_1095.jpg,-0.117874496,0.5509298,0.6688043,0.7498955,0.644146,0.47917312,B_A2
frame_face_B_A2_1096.jpg,-0.25462025,-0.5008013,0.7554216,0.14755562,0.53672063,0.5423522,B_A2
frame_face_B_A2_1097.jpg,-0.15639739,0.45571145,0.6121088,0.6953628,0.613883,0.43781915,B_A2
frame_face_B_A2_1098.jpg,-0.17842166,0.3836588,0.56208044,0.6540973,0.5965811,0.40132818,B_A2
